latitude,longitude,land_use_type,concealment
34.0,-118.2,road,0.1
34.0,-118.1979797979798,road,0.1
34.0,-118.1959595959596,road,0.1
34.0,-118.1939393939394,road,0.1
34.0,-118.1919191919192,road,0.1
34.0,-118.18989898989899,road,0.1
34.0,-118.18787878787879,road,0.1
34.0,-118.18585858585858,road,0.1
34.0,-118.18383838383839,road,0.1
34.0,-118.18181818181819,road,0.1
34.0,-118.17979797979798,road,0.1
34.0,-118.17777777777778,road,0.1
34.0,-118.17575757575757,road,0.1
34.0,-118.17373737373738,road,0.1
34.0,-118.17171717171718,road,0.1
34.0,-118.16969696969697,road,0.1
34.0,-118.16767676767677,road,0.1
34.0,-118.16565656565656,road,0.1
34.0,-118.16363636363637,road,0.1
34.0,-118.16161616161617,road,0.1
34.0,-118.15959595959596,road,0.1
34.0,-118.15757575757576,road,0.1
34.0,-118.15555555555555,road,0.1
34.0,-118.15353535353536,road,0.1
34.0,-118.15151515151516,road,0.1
34.0,-118.14949494949495,road,0.1
34.0,-118.14747474747475,road,0.1
34.0,-118.14545454545454,road,0.1
34.0,-118.14343434343435,road,0.1
34.0,-118.14141414141415,road,0.1
34.0,-118.13939393939394,road,0.1
34.0,-118.13737373737374,road,0.1
34.0,-118.13535353535353,road,0.1
34.0,-118.13333333333334,road,0.1
34.0,-118.13131313131314,road,0.1
34.0,-118.12929292929293,road,0.1
34.0,-118.12727272727273,road,0.1
34.0,-118.12525252525252,road,0.1
34.0,-118.12323232323233,road,0.1
34.0,-118.12121212121212,road,0.1
34.0,-118.11919191919192,road,0.1
34.0,-118.11717171717171,road,0.1
34.0,-118.11515151515151,road,0.1
34.0,-118.11313131313132,road,0.1
34.0,-118.11111111111111,road,0.1
34.0,-118.10909090909091,road,0.1
34.0,-118.1070707070707,road,0.1
34.0,-118.1050505050505,road,0.1
34.0,-118.10303030303031,road,0.1
34.0,-118.1010101010101,road,0.1
34.0,-118.0989898989899,road,0.1
34.0,-118.0969696969697,road,0.1
34.0,-118.0949494949495,road,0.1
34.0,-118.0929292929293,road,0.1
34.0,-118.0909090909091,road,0.1
34.0,-118.08888888888889,road,0.1
34.0,-118.08686868686868,road,0.1
34.0,-118.0848484848485,road,0.1
34.0,-118.08282828282829,road,0.1
34.0,-118.08080808080808,road,0.1
34.0,-118.07878787878788,road,0.1
34.0,-118.07676767676767,road,0.1
34.0,-118.07474747474748,road,0.1
34.0,-118.07272727272728,road,0.1
34.0,-118.07070707070707,road,0.1
34.0,-118.06868686868687,road,0.1
34.0,-118.06666666666666,road,0.1
34.0,-118.06464646464647,road,0.1
34.0,-118.06262626262627,road,0.1
34.0,-118.06060606060606,road,0.1
34.0,-118.05858585858586,road,0.1
34.0,-118.05656565656565,road,0.1
34.0,-118.05454545454546,road,0.1
34.0,-118.05252525252526,road,0.1
34.0,-118.05050505050505,road,0.1
34.0,-118.04848484848485,road,0.1
34.0,-118.04646464646464,road,0.1
34.0,-118.04444444444445,road,0.1
34.0,-118.04242424242425,road,0.1
34.0,-118.04040404040404,road,0.1
34.0,-118.03838383838384,road,0.1
34.0,-118.03636363636363,road,0.1
34.0,-118.03434343434344,road,0.1
34.0,-118.03232323232324,road,0.1
34.0,-118.03030303030303,road,0.1
34.0,-118.02828282828283,road,0.1
34.0,-118.02626262626262,road,0.1
